id|product_id|category_id|perusahaan|field|field_value
187|17|1|51|field-10|006.1.02.23.14.0017
188|18|1|51|field-0|ACR
189|18|1|51|field-1|CFL
190|18|1|51|field-2|ACR SPIRAL 40W
191|18|1|51|field-3|Spiral
192|18|1|51|field-4|37.15
193|18|1|51|field-5|56.76
194|18|1|51|field-6|Cool Daylight
195|18|1|51|field-7|3
196|18|1|51|field-8|108.48
197|18|1|51|field-9|159137.23
198|18|1|51|field-10|006.1.02.40.14.0018
199|19|1|51|field-0|ATAMA XTRA
200|19|1|51|field-1|CFL
201|19|1|51|field-2|ATAMA XTRA Tipe 25
202|19|1|51|field-3|Spiral
203|19|1|51|field-4|12.30
204|19|1|51|field-5|41.51
205|19|1|51|field-6|Cool Daylight
206|19|1|51|field-7|2
207|19|1|51|field-8|35.92
208|19|1|51|field-9|52688.77
209|19|1|51|field-10|006.2.02.14.14.0019
210|20|1|51|field-0|ATAMA XTRA
211|20|1|51|field-1|CFL
212|20|1|51|field-2|ATAMA XTRA Tipe 30
213|20|1|51|field-3|Spiral
214|20|1|51|field-4|13.60
215|20|1|51|field-5|40.23
216|20|1|51|field-6|Cool Daylight
217|20|1|51|field-7|2
218|20|1|51|field-8|39.71
219|20|1|51|field-9|58257.50
220|20|1|51|field-10|006.2.02.15.14.0020
221|21|1|51|field-0|ATAMA XTRA
222|21|1|51|field-1|CFL
223|21|1|51|field-2|ATAMA XTRA Tipe 35
224|21|1|51|field-3|Spiral
225|21|1|51|field-4|13.50
226|21|1|51|field-5|39.69
227|21|1|51|field-6|Cool Daylight
228|21|1|51|field-7|2
229|21|1|51|field-8|39.42
230|21|1|51|field-9|57829.14
231|21|1|51|field-10|006.2.02.15.14.0021
232|22|1|52|field-0|Panasonic
233|22|1|52|field-1|CFL
234|22|1|52|field-2|EFUHV18D65A2
235|22|1|52|field-3|3U
236|22|1|52|field-4|17.60
237|22|1|52|field-5|61.00
238|22|1|52|field-6|Cool Daylight
239|22|1|52|field-7|4
240|22|1|52|field-8|51.39
241|22|1|52|field-9|75392.06
242|22|1|52|field-10|004.1.01.18.14.0001
243|23|1|52|field-0|Panasonic
244|23|1|52|field-1|CFL
245|23|1|52|field-2|EFUHV23D65A3
246|23|1|52|field-3|3U
247|23|1|52|field-4|21.70
248|23|1|52|field-5|60.00
249|23|1|52|field-6|Cool Daylight
250|23|1|52|field-7|4
251|23|1|52|field-8|63.36
252|23|1|52|field-9|92954.99
253|23|1|52|field-10|004.1.01.23.14.0002
254|24|1|52|field-0|Panasonic
255|24|1|52|field-1|CFL
256|24|1|52|field-2|EFDHV32D65A2
257|24|1|52|field-3|Spiral
258|24|1|52|field-4|29.50
259|24|1|52|field-5|67.00
260|24|1|52|field-6|Cool Daylight
261|24|1|52|field-7|4
262|24|1|52|field-8|86.14
263|24|1|52|field-9|126367.38
264|24|1|52|field-10|004.1.02.32.14.0003
265|25|1|52|field-0|Panasonic
266|25|1|52|field-1|CFL
267|25|1|52|field-2|EFDHV42D65A2
268|25|1|52|field-3|Spiral
269|25|1|52|field-4|37.80
270|25|1|52|field-5|63.00
271|25|1|52|field-6|Cool Daylight
272|25|1|52|field-7|4
273|25|1|52|field-8|110.38
274|25|1|52|field-9|161921.59
275|25|1|52|field-10|004.1.02.42.14.0004
276|26|1|51|field-0|METAFORA
277|26|1|51|field-1|CFL
278|26|1|51|field-2|METAFORA Tipe 5
279|26|1|51|field-3|2U
280|26|1|51|field-4|5.00
281|26|1|51|field-5|36.88
282|26|1|51|field-6|Cool Daylight
283|26|1|51|field-7|2
284|26|1|51|field-8|14.60
285|26|1|51|field-9|21418.20
286|26|1|51|field-10|006.3.01.05.14.0022
287|27|1|51|field-0|METAFORA
288|27|1|51|field-1|CFL
289|27|1|51|field-2|METAFORA Tipe 7
290|27|1|51|field-3|2U
291|27|1|51|field-4|5.20
292|27|1|51|field-5|37.69
293|27|1|51|field-6|Cool Daylight
294|27|1|51|field-7|2
295|27|1|51|field-8|15.18
296|27|1|51|field-9|22274.93
297|27|1|51|field-10|006.3.01.05.14.0023
298|28|1|51|field-0|METAFORA
299|28|1|51|field-1|CFL
300|28|1|51|field-2|METAFORA Tipe 9
301|28|1|51|field-3|2U
302|28|1|51|field-4|6.00
303|28|1|51|field-5|41.65
304|28|1|51|field-6|Cool Daylight
305|28|1|51|field-7|2
306|28|1|51|field-8|17.52
307|28|1|51|field-9|25701.84
308|28|1|51|field-10|006.3.01.06.14.0024
309|29|1|51|field-0|METAFORA
310|29|1|51|field-1|CFL
311|29|1|51|field-2|METAFORA Tipe 11
312|29|1|51|field-3|2U
313|29|1|51|field-4|6.20
314|29|1|51|field-5|41.75
315|29|1|51|field-6|Cool Daylight
316|29|1|51|field-7|2
317|29|1|51|field-8|18.10
318|29|1|51|field-9|26558.57
319|29|1|51|field-10|006.3.01.06.14.0025
320|30|1|51|field-0|METAFORA
321|30|1|51|field-1|CFL
322|30|1|51|field-2|METAFORA Tipe 15
323|30|1|51|field-3|2U
324|30|1|51|field-4|7.20
325|30|1|51|field-5|42.76
326|30|1|51|field-6|Cool Daylight
327|30|1|51|field-7|2
328|30|1|51|field-8|21.02
329|30|1|51|field-9|30842.21
330|30|1|51|field-10|006.3.01.07.14.0026
331|31|1|51|field-0|METAFORA
332|31|1|51|field-1|CFL
333|31|1|51|field-2|METAFORA Tipe 18
334|31|1|51|field-3|2U
335|31|1|51|field-4|7.80
336|31|1|51|field-5|40.70
337|31|1|51|field-6|Cool Daylight
338|31|1|51|field-7|2
339|31|1|51|field-8|22.78
340|31|1|51|field-9|33412.39
341|31|1|51|field-10|006.3.01.08.14.0027
342|32|1|51|field-0|METAFORA
343|32|1|51|field-1|CFL
344|32|1|51|field-2|METAFORA Tipe 20
345|32|1|51|field-3|2U
346|32|1|51|field-4|8.00
347|32|1|51|field-5|40.10
348|32|1|51|field-6|Cool Daylight
349|32|1|51|field-7|2
350|32|1|51|field-8|23.36
351|32|1|51|field-9|34269.12
352|32|1|51|field-10|006.3.01.08.14.0028
353|33|1|51|field-0|PRESTIGE
354|33|1|51|field-1|CFL
355|33|1|51|field-2|PRESTIGE Tipe 5
356|33|1|51|field-3|2U
357|33|1|51|field-4|5.00
358|33|1|51|field-5|37.20
359|33|1|51|field-6|Cool Daylight
360|33|1|51|field-7|2
361|33|1|51|field-8|14.60
362|33|1|51|field-9|21418.20
363|33|1|51|field-10|006.4.01.05.14.0029
364|34|1|51|field-0|PRESTIGE
365|34|1|51|field-1|CFL
366|34|1|51|field-2|PRESTIGE Tipe 7
367|34|1|51|field-3|2U
368|34|1|51|field-4|5.20
369|34|1|51|field-5|36.97
370|34|1|51|field-6|Cool Daylight
371|34|1|51|field-7|2
372|34|1|51|field-8|15.18
373|34|1|51|field-9|22274.93
374|34|1|51|field-10|006.4.01.05.14.0030
375|35|1|51|field-0|PRESTIGE
376|35|1|51|field-1|CFL
377|35|1|51|field-2|PRESTIGE Tipe 9
378|35|1|51|field-3|2U
379|35|1|51|field-4|6.00
380|35|1|51|field-5|41.92
381|35|1|51|field-6|Cool Daylight
382|35|1|51|field-7|2
383|35|1|51|field-8|17.52
384|35|1|51|field-9|25701.84
385|35|1|51|field-10|006.4.01.06.14.0031
386|36|1|51|field-0|PRESTIGE
387|36|1|51|field-1|CFL
388|36|1|51|field-2|PRESTIGE Tipe 11
389|36|1|51|field-3|2U
390|36|1|51|field-4|6.20
391|36|1|51|field-5|42.08
392|36|1|51|field-6|Cool Daylight
393|36|1|51|field-7|2
394|36|1|51|field-8|18.10
395|36|1|51|field-9|26558.57
396|36|1|51|field-10|006.4.01.06.14.0032
397|37|1|51|field-0|PRESTIGE
398|37|1|51|field-1|CFL
399|37|1|51|field-2|PRESTIGE Tipe 15
400|37|1|51|field-3|2U
401|37|1|51|field-4|7.20
402|37|1|51|field-5|42.25
403|37|1|51|field-6|Cool Daylight
404|37|1|51|field-7|2
405|37|1|51|field-8|21.02
406|37|1|51|field-9|30842.21
407|37|1|51|field-10|006.4.01.07.14.0033
408|38|1|51|field-0|PRESTIGE
409|38|1|51|field-1|CFL
410|38|1|51|field-2|PRESTIGE Tipe 18
411|38|1|51|field-3|2U
412|38|1|51|field-4|7.80
413|38|1|51|field-5|41.09
414|38|1|51|field-6|Cool Daylight
415|38|1|51|field-7|2
416|38|1|51|field-8|22.78
417|38|1|51|field-9|33412.39
418|38|1|51|field-10|006.4.01.08.14.0034
419|39|1|51|field-0|PRESTIGE
420|39|1|51|field-1|CFL
421|39|1|51|field-2|PRESTIGE Tipe 20
422|39|1|51|field-3|2U
423|39|1|51|field-4|8.00
424|39|1|51|field-5|39.85
425|39|1|51|field-6|Cool Daylight
426|39|1|51|field-7|2
427|39|1|51|field-8|23.36
428|39|1|51|field-9|34269.12
429|39|1|51|field-10|006.4.01.08.14.0035
430|40|1|51|field-0|RAFnet
431|40|1|51|field-1|CFL
432|40|1|51|field-2|RAFnet Tipe 5
433|40|1|51|field-3|2U
434|40|1|51|field-4|5.00
435|40|1|51|field-5|37.06
436|40|1|51|field-6|Cool Daylight
437|40|1|51|field-7|2
438|40|1|51|field-8|14.60
439|40|1|51|field-9|21418.20
440|40|1|51|field-10|006.5.01.05.14.0036
441|41|1|51|field-0|RAFnet
442|41|1|51|field-1|CFL
443|41|1|51|field-2|RAFnet Tipe 7
444|41|1|51|field-3|2U
445|41|1|51|field-4|5.20
446|41|1|51|field-5|38.04
447|41|1|51|field-6|Cool Daylight
448|41|1|51|field-7|2
449|41|1|51|field-8|15.18
450|41|1|51|field-9|22274.93
451|41|1|51|field-10|006.5.01.05.14.0037
452|42|1|51|field-0|RAFnet
453|42|1|51|field-1|CFL
454|42|1|51|field-2|RAFnet Tipe 9
455|42|1|51|field-3|2U
456|42|1|51|field-4|6.00
457|42|1|51|field-5|41.69
458|42|1|51|field-6|Cool Daylight
459|42|1|51|field-7|2
460|42|1|51|field-8|17.52
461|42|1|51|field-9|25701.84
462|42|1|51|field-10|006.5.01.06.14.0038
463|43|1|51|field-0|RAFnet
464|43|1|51|field-1|CFL
465|43|1|51|field-2|RAFnet Tipe 11
466|43|1|51|field-3|2U
467|43|1|51|field-4|6.20
468|43|1|51|field-5|40.74
469|43|1|51|field-6|Cool Daylight
470|43|1|51|field-7|2
471|43|1|51|field-8|18.10
472|43|1|51|field-9|26558.57
473|43|1|51|field-10|006.5.01.06.14.0039
474|44|1|51|field-0|RAFnet
475|44|1|51|field-1|CFL
476|44|1|51|field-2|RAFnet Tipe 15
477|44|1|51|field-3|2U
478|44|1|51|field-4|7.20
479|44|1|51|field-5|40.89
480|44|1|51|field-6|Cool Daylight
481|44|1|51|field-7|2
482|44|1|51|field-8|21.02
483|44|1|51|field-9|30842.21
484|44|1|51|field-10|006.5.01.07.14.0040
485|45|1|51|field-0|RAFnet
486|45|1|51|field-1|CFL
487|45|1|51|field-2|RAFnet Tipe 18
488|45|1|51|field-3|2U
489|45|1|51|field-4|7.80
490|45|1|51|field-5|41.52
491|45|1|51|field-6|Cool Daylight
492|45|1|51|field-7|2
493|45|1|51|field-8|22.78
494|45|1|51|field-9|33412.39
495|45|1|51|field-10|006.5.01.08.14.0041
496|46|1|51|field-0|RAFnet
497|46|1|51|field-1|CFL
498|46|1|51|field-2|RAFnet Tipe 20
499|46|1|51|field-3|2U
500|46|1|51|field-4|8.00
501|46|1|51|field-5|41.21
502|46|1|51|field-6|Cool Daylight
503|46|1|51|field-7|2
504|46|1|51|field-8|23.36
505|46|1|51|field-9|34269.12
506|46|1|51|field-10|006.5.01.08.14.0042
507|47|1|51|field-0|FOELTIX
508|47|1|51|field-1|CFL
509|47|1|51|field-2|FOELTIX Tipe 5
510|47|1|51|field-3|2U
511|47|1|51|field-4|5.00
512|47|1|51|field-5|37.44
513|47|1|51|field-6|Cool Daylight
514|47|1|51|field-7|2
515|47|1|51|field-8|14.60
516|47|1|51|field-9|21418.20
517|47|1|51|field-10|006.6.01.05.14.0043
518|48|1|51|field-0|FOELTIX
519|48|1|51|field-1|CFL
520|48|1|51|field-2|FOELTIX Tipe 7
521|48|1|51|field-3|2U
522|48|1|51|field-4|5.20
523|48|1|51|field-5|36.65
524|48|1|51|field-6|Cool Daylight
525|48|1|51|field-7|2
526|48|1|51|field-8|15.18
527|48|1|51|field-9|22274.93
528|48|1|51|field-10|006.6.01.05.14.0044
529|49|1|51|field-0|FOELTIX
530|49|1|51|field-1|CFL
531|49|1|51|field-2|FOELTIX Tipe 9
532|49|1|51|field-3|2U
533|49|1|51|field-4|6.00
534|49|1|51|field-5|41.17
535|49|1|51|field-6|Cool Daylight
536|49|1|51|field-7|2
537|49|1|51|field-8|17.52
538|49|1|51|field-9|25701.84
539|49|1|51|field-10|006.6.01.06.14.0045
540|50|1|51|field-0|FOELTIX
541|50|1|51|field-1|CFL
542|50|1|51|field-2|FOELTIX Tipe 11
543|50|1|51|field-3|2U
544|50|1|51|field-4|6.20
545|50|1|51|field-5|41.19
546|50|1|51|field-6|Cool Daylight
547|50|1|51|field-7|2
548|50|1|51|field-8|18.10
549|50|1|51|field-9|26558.57
550|50|1|51|field-10|006.6.01.06.14.0046
551|51|1|51|field-0|FOELTIX
552|51|1|51|field-1|CFL
553|51|1|51|field-2|FOELTIX Tipe 15
554|51|1|51|field-3|2U
555|51|1|51|field-4|7.20
556|51|1|51|field-5|42.17
557|51|1|51|field-6|Cool Daylight
558|51|1|51|field-7|2
559|51|1|51|field-8|21.02
560|51|1|51|field-9|30842.21
561|51|1|51|field-10|006.6.01.07.14.0047
562|52|1|51|field-0|FOELTIX
563|52|1|51|field-1|CFL
564|52|1|51|field-2|FOELTIX Tipe 18
565|52|1|51|field-3|2U
566|52|1|51|field-4|7.80
567|52|1|51|field-5|41.51
568|52|1|51|field-6|Cool Daylight
569|52|1|51|field-7|2
570|52|1|51|field-8|22.78
571|52|1|51|field-9|33412.39
572|52|1|51|field-10|006.6.01.08.14.0048
573|53|1|51|field-0|FOELTIX
574|53|1|51|field-1|CFL
575|53|1|51|field-2|FOELTIX Tipe 20
576|53|1|51|field-3|2U
577|53|1|51|field-4|8.00
578|53|1|51|field-5|40.96
579|53|1|51|field-6|Cool Daylight
580|53|1|51|field-7|2
581|53|1|51|field-8|23.36
582|53|1|51|field-9|34269.12
583|53|1|51|field-10|006.6.01.08.14.0049
584|54|1|51|field-0|SCHEIN NET
585|54|1|51|field-1|CFL
586|54|1|51|field-2|SCHEIN NET Tipe 5
587|54|1|51|field-3|2U
588|54|1|51|field-4|5.00
589|54|1|51|field-5|36.36
590|54|1|51|field-6|Cool Daylight
591|54|1|51|field-7|2
592|54|1|51|field-8|14.60
593|54|1|51|field-9|21418.20
594|54|1|51|field-10|006.7.01.05.14.0050
595|55|1|51|field-0|SCHEIN NET
596|55|1|51|field-1|CFL
597|55|1|51|field-2|SCHEIN NET Tipe 7
598|55|1|51|field-3|2U
599|55|1|51|field-4|5.20
600|55|1|51|field-5|37.30
601|55|1|51|field-6|Cool Daylight
602|55|1|51|field-7|2
603|55|1|51|field-8|15.18
604|55|1|51|field-9|22274.93
605|55|1|51|field-10|006.7.01.05.14.0051
606|56|1|51|field-0|SCHEIN NET
607|56|1|51|field-1|CFL
608|56|1|51|field-2|SCHEIN NET Tipe 9
609|56|1|51|field-3|2U
610|56|1|51|field-4|6.00
611|56|1|51|field-5|42.03
612|56|1|51|field-6|Cool Daylight
613|56|1|51|field-7|2
614|56|1|51|field-8|17.52
615|56|1|51|field-9|25701.84
616|56|1|51|field-10|006.7.01.06.14.0052
617|57|1|51|field-0|SCHEIN NET
618|57|1|51|field-1|CFL
619|57|1|51|field-2|SCHEIN NET Tipe 11
620|57|1|51|field-3|2U
621|57|1|51|field-4|6.20
622|57|1|51|field-5|42.06
623|57|1|51|field-6|Cool Daylight
624|57|1|51|field-7|2
625|57|1|51|field-8|18.10
626|57|1|51|field-9|26558.57
627|57|1|51|field-10|006.7.01.06.14.0053
628|58|1|51|field-0|SCHEIN NET
629|58|1|51|field-1|CFL
630|58|1|51|field-2|SCHEIN NET Tipe 15
631|58|1|51|field-3|2U
632|58|1|51|field-4|7.20
633|58|1|51|field-5|42.45
634|58|1|51|field-6|Cool Daylight
635|58|1|51|field-7|2
636|58|1|51|field-8|21.02
637|58|1|51|field-9|30842.21
638|58|1|51|field-10|006.7.01.07.14.0054
639|59|1|51|field-0|SCHEIN NET
640|59|1|51|field-1|CFL
641|59|1|51|field-2|SCHEIN NET Tipe 18
642|59|1|51|field-3|2U
643|59|1|51|field-4|7.80
644|59|1|51|field-5|41.22
645|59|1|51|field-6|Cool Daylight
646|59|1|51|field-7|2
647|59|1|51|field-8|22.78
648|59|1|51|field-9|33412.39
649|59|1|51|field-10|006.7.01.08.14.0055
650|60|1|51|field-0|SCHEIN NET
651|60|1|51|field-1|CFL
652|60|1|51|field-2|SCHEIN NET Tipe 20
653|60|1|51|field-3|2U
654|60|1|51|field-4|8.00
655|60|1|51|field-5|40.44
656|60|1|51|field-6|Cool Daylight
657|60|1|51|field-7|2
658|60|1|51|field-8|23.36
659|60|1|51|field-9|34269.12
660|60|1|51|field-10|006.7.01.08.14.0056
661|61|1|51|field-0|Panasonic
662|61|1|51|field-1|CFL
663|61|1|51|field-2|EFDHV5L27A2
664|61|1|51|field-3|Spiral
665|61|1|51|field-4|5.20
666|61|1|51|field-5|65.00
667|61|1|51|field-6|Warm White
668|61|1|51|field-7|4
669|61|1|51|field-8|15.18
670|61|1|51|field-9|22274.93
671|61|1|51|field-10|004.1.02.05.15.0001
672|62|1|52|field-0|Panasonic
673|62|1|52|field-1|CFL
674|62|1|52|field-2|EFDHV5D65A2
675|62|1|52|field-3|Spiral
676|62|1|52|field-4|5.08
677|62|1|52|field-5|62.00
678|62|1|52|field-6|Cool Daylight
679|62|1|52|field-7|4
680|62|1|52|field-8|14.83
681|62|1|52|field-9|21760.89
682|62|1|52|field-10|004.1.02.05.15.0002
683|63|1|52|field-0|Panasonic
684|63|1|52|field-1|CFL
685|63|1|52|field-2|EFDHV8L27A2
686|63|1|52|field-3|Spiral
687|63|1|52|field-4|8.30
688|63|1|52|field-5|65.00
689|63|1|52|field-6|Warm White
690|63|1|52|field-7|4
691|63|1|52|field-8|24.24
692|63|1|52|field-9|35554.21
693|63|1|52|field-10|004.1.02.08.15.0003
694|64|1|52|field-0|Panasonic
695|64|1|52|field-1|CFL
696|64|1|52|field-2|EFDHV8D65A2
697|64|1|52|field-3|Spiral
698|64|1|52|field-4|7.72
699|64|1|52|field-5|63.00
700|64|1|52|field-6|Cool Daylight
701|64|1|52|field-7|4
702|64|1|52|field-8|22.54
703|64|1|52|field-9|33069.70
704|64|1|52|field-10|004.1.02.08.15.0004
705|65|1|52|field-0|Panasonic
706|65|1|52|field-1|CFL
707|65|1|52|field-2|EFDHV11L27A2
708|65|1|52|field-3|Spiral
709|65|1|52|field-4|11.00
710|65|1|52|field-5|66.00
711|65|1|52|field-6|Warm White
712|65|1|52|field-7|4
713|65|1|52|field-8|32.12
714|65|1|52|field-9|47120.04
715|65|1|52|field-10|004.1.02.11.15.0005
716|66|1|52|field-0|Panasonic
717|66|1|52|field-1|CFL
718|66|1|52|field-2|EFDHV11D65A2
719|66|1|52|field-3|Spiral
720|66|1|52|field-4|10.69
721|66|1|52|field-5|62.00
722|66|1|52|field-6|Cool Daylight
723|66|1|52|field-7|4
724|66|1|52|field-8|31.21
725|66|1|52|field-9|45792.11
726|66|1|52|field-10|004.1.02.11.15.0006
727|67|1|52|field-0|Panasonic
728|67|1|52|field-1|CFL
729|67|1|52|field-2|EFDHV14L27A2
730|67|1|52|field-3|Spiral
731|67|1|52|field-4|13.90
732|67|1|52|field-5|70.00
733|67|1|52|field-6|Warm White
734|67|1|52|field-7|4
735|67|1|52|field-8|40.59
736|67|1|52|field-9|59542.60
737|67|1|52|field-10|004.1.02.14.15.0007
738|68|1|52|field-0|Panasonic
739|68|1|52|field-1|CFL
740|68|1|52|field-2|EFDHV14D65A2
741|68|1|52|field-3|Spiral
742|68|1|52|field-4|13.70
743|68|1|52|field-5|65.00
744|68|1|52|field-6|Cool Daylight
745|68|1|52|field-7|4
746|68|1|52|field-8|40.00
747|68|1|52|field-9|58685.87
748|68|1|52|field-10|004.1.02.14.15.0008
749|69|1|52|field-0|Panasonic
750|69|1|52|field-1|CFL
751|69|1|52|field-2|EFDHV19L27A2
752|69|1|52|field-3|Spiral
753|69|1|52|field-4|17.70
754|69|1|52|field-5|71.00
755|69|1|52|field-6|Warm White
756|69|1|52|field-7|4
757|69|1|52|field-8|51.68
758|69|1|52|field-9|75820.43
759|69|1|52|field-10|004.1.02.19.15.0009
760|70|1|52|field-0|Panasonic
761|70|1|52|field-1|CFL
762|70|1|52|field-2|EFDHV19D65A2
763|70|1|52|field-3|Spiral
764|70|1|52|field-4|18.80
765|70|1|52|field-5|66.00
766|70|1|52|field-6|Cool Daylight
767|70|1|52|field-7|4
768|70|1|52|field-8|54.90
769|70|1|52|field-9|80532.43
770|70|1|52|field-10|004.1.02.19.15.0010
771|71|1|52|field-0|Panasonic
772|71|1|52|field-1|CFL
773|71|1|52|field-2|EFDHV22L27A2
774|71|1|52|field-3|Spiral
775|71|1|52|field-4|20.50
