id;category_form_id;category_product_id;data_point;data_entry_type;data_input;mandatory;notes;jenis_form;input_keterangan
60;10;2;Kondisi kemasan produk AC tidak rusak;RADIO;"Baik;Tidak Baik";1;;2;0
61;10;2;Periksa kondisi fisik produk AC secara visual seperti bodi unit indoor;RADIO;"Baik;Tidak Baik";1;;2;0
62;10;2;Kondisi fin atau sirip alat penukar kalor tidak rusak deformasi berubah warna pada unit indoor;RADIO;"Baik;Tidak Baik";1;;2;0
63;10;2;Kondisi kipas pada unit indoor tidak retak rusak atau menyentuh bagian lainnya;RADIO;"Baik;Tidak Baik";1;;2;0
64;10;2;Tidak ada komponen aksesoris yang hilang atau tidak lengkap seperti yang dijelaskan di dalam buku petunjuk pengoperasian. Seperti installing holder screw remote control dan lain-lain;RADIO;"Baik;Tidak Baik";1;;2;0
65;10;2;Pastikan terdapat penutup katub atau tidak ada kerusakan pada ulir sambungan pipa antara unit indoor;RADIO;"Baik;Tidak Baik";1;;2;0
66;10;2;Pipa penghubung tube refrigerant antara unit indoor dan outdoor tidak penyok;RADIO;"Baik;Tidak Baik";1;;2;0
67;11;2;Kondisi kemasan produk AC tidak rusak;RADIO;"Baik;Tidak Baik";1;;2;0
68;11;2;Periksa kondisi fisik produk AC secara visual seperti bodi unit outdoor;RADIO;"Baik;Tidak Baik";1;;2;0
69;11;2;Kondisi fin atau sirip alat penukar kalor tidak rusak deformasi berubah warna pada unit outdoor;RADIO;"Baik;Tidak Baik";1;;2;0
70;11;2;Kondisi kipas pada unit outdoor tidak retak rusak atau menyentuh bagian lainnya;RADIO;"Baik;Tidak Baik";1;;2;0
71;11;2;Pastikan terdapat penutup katub atau tidak ada kerusakan pada ulir sambungan pipa antara unit outdoor;RADIO;"Baik;Tidak Baik";1;;2;0
72;11;2;Pipa 2 way dan 3 way valve dalam keadaan tertutup (Tidak ada kebocoran gas);RADIO;"Baik;Tidak Baik";1;;2;0
73;12;2;Hasil penilaian;RADIO;"Baik, dapat dilanjutkan ke pengecekan kondisi pengujian;Tidak diterima, unit dikemas kembali untuk dikembalikan";1;;2;0
74;12;2;Keterangan tambahan;TEXT;null;0;;2;0
75;13;2;Nomor seri unit indoor;TEXT;null;1;;3;0
76;13;2;Nomor seri unit outdoor;TEXT;null;1;;3;0
77;13;2;Kapasitas normal (Btu/h);TEXT;null;1;;3;0
78;13;2;Daya normal (W);TEXT;null;1;;3;0
79;13;2;Kapasitas maksimum (Btu/h);TEXT;null;1;;3;0
80;13;2;Daya maksimum (W);TEXT;null;1;;3;0
81;13;2;Tegangan (V);TEXT;null;1;;3;0
82;13;2;Fase;TEXT;null;1;;3;0
83;13;2;Hz;TEXT;null;1;;3;0
84;13;2;Current (A);TEXT;null;1;;3;0
85;13;2;Berat unit indoor (kg);TEXT;null;1;;3;0
86;13;2;Berat unit outdoor (kg);TEXT;null;1;;3;0
87;13;2;Dimensi unit indoor (mm W*H*D);TEXT;null;1;;3;0
88;13;2;Dimensi unit outdoor (mm W*H*D);TEXT;null;1;;3;0
89;13;2;Tipe refrigeran;TEXT;null;1;;3;0
90;13;2;Muatan refrigeran;TEXT;null;1;;3;0
91;14;2;Time (min);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
92;14;2;Voltage (V);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
93;14;2;Frequency (Hz);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
94;14;2;Current (A);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
95;14;2;Dry-bulb temperature air entering indoor side  (oC);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
96;14;2;Wet-bulb temperature air entering indoor side (oC);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
97;14;2;Dry-bulb & Wet-bulb temperature outdoor side (oC);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
98;14;2;Standard airflow rate (m3/s);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
99;14;2;Airflow rate (m3/s);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
100;14;2;Dry bulb temperature air leaving indoor side (oC);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
101;14;2;Wet bulb temperature air leaving indoor side (oC);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
102;14;2;Test Unit Static Pressure (Pa);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
103;14;2;Atmospheric pressure (kPa);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
104;14;2;Indoor unit fan speed (RPM);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
105;14;2;Inverter compressor set* (Hz);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
106;14;2;Total cooling capacity (Btu/h)[W];TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
107;14;2;Latent cooling capacity (Btu/h);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
108;14;2;Sensible cooling capacity (Btu/h);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
109;14;2;Sensible heat ratio (%);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
110;14;2;Effective Power input (W);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
111;14;2;EER (Btu/h/W);TWO;"FULL-LOAD; 50% FULL-LOAD";0;;3;0
112;15;2;EER (Btu/h/W);THREE;"PENGUJIAN;SHE;NAMEPLATE";0;;3;0
113;15;2;CSPF (Wh/Wh);THREE;"PENGUJIAN;SHE;NAMEPLATE";0;;3;0
114;15;2;Upload Data Hasil Lab Uji;FILE;null;0;;3;0
115;15;2;Variasi hasil pengujian terhadap EER SHE (%);FORMULA;null;0;;3;0
116;15;2;Variasi hasil pengujian terhadap CSPF SHE (%);FORMULA;null;0;;3;0
117;15;2;Variasi hasil pengujian terhadap EER Nameplate (%);FORMULA;null;0;;3;0
118;15;2;Variasi hasil pengujian terhadap CSPF Nameplate (%);FORMULA;null;0;;3;0
119;16;2;Lampirkan foto LTHE;FILE;null;1;;4;0
120;16;2;Nomor SHE;TEXT;null;1;;4;0
121;16;2;Jumlah Bintang;TEXT;null;1;;4;0
122;16;2;Nilai Efisiensi Energi (EER/CSPF);TEXT;null;1;;4;0
123;16;2;Model Unit Dalam;TEXT;null;1;;4;0
124;16;2;Model Unit Luar;TEXT;null;1;;4;0
125;16;2;Daya;TEXT;null;1;;4;0
126;16;2;Kapasitas Pendingin;TEXT;null;1;;4;0
127;17;2;Kondisi kemasan produk AC tidak rusak;RADIO;"Baik;Tidak Baik";1;;5;0
128;17;2;Periksa kondisi fisik produk AC secara visual seperti bodi unit indoor;RADIO;"Baik;Tidak Baik";1;;5;0
129;17;2;Kondisi fin atau sirip alat penukar kalor tidak rusak deformasi berubah warna pada unit indoor;RADIO;"Baik;Tidak Baik";1;;5;0
130;17;2;Kondisi kipas pada unit indoor tidak retak rusak atau menyentuh bagian lainnya;RADIO;"Baik;Tidak Baik";1;;5;0
131;17;2;Tidak ada komponen aksesoris yang hilang atau tidak lengkap seperti yang dijelaskan di dalam buku petunjuk pengoperasian. Seperti installing holder screw remote control dan lain-lain;RADIO;"Baik;Tidak Baik";1;;5;0
132;17;2;Pastikan terdapat penutup katub atau tidak ada kerusakan pada ulir sambungan pipa antara unit indoor;RADIO;"Baik;Tidak Baik";1;;5;0
133;17;2;Pipa penghubung tube refrigerant antara unit indoor dan outdoor tidak penyok;RADIO;"Baik;Tidak Baik";1;;5;0
134;18;2;Kondisi kemasan produk AC tidak rusak;RADIO;"Baik;Tidak Baik";1;;5;0
135;18;2;Periksa kondisi fisik produk AC secara visual seperti bodi unit outdoor;RADIO;"Baik;Tidak Baik";1;;5;0
136;18;2;Kondisi fin atau sirip alat penukar kalor tidak rusak deformasi berubah warna pada unit outdoor;RADIO;"Baik;Tidak Baik";1;;5;0
137;18;2;Kondisi kipas pada unit outdoor tidak retak rusak atau menyentuh bagian lainnya;RADIO;"Baik;Tidak Baik";1;;5;0
138;18;2;Pastikan terdapat penutup katub atau tidak ada kerusakan pada ulir sambungan pipa antara unit outdoor;RADIO;"Baik;Tidak Baik";1;;5;0
139;18;2;Pipa 2 way dan 3 way valve dalam keadaan tertutup (Tidak ada kebocoran gas);RADIO;"Baik;Tidak Baik";1;;5;0
140;19;2;Berat unit indoor sebelum;RADIO;"Sesuai;Tidak Sesuai";1;;5;1
141;19;2;Berat unit indoor sesudah;RADIO;"Sesuai;Tidak Sesuai";1;;5;1
142;19;2;Berat unit outdoor sebelum;RADIO;"Sesuai;Tidak Sesuai";1;;5;1
143;19;2;Berat unit outdoor sesudah;RADIO;"Sesuai;Tidak Sesuai";1;;5;1
144;19;2;Pipa tembaga sepanjang 7.5 m +- 10 cm;RADIO;"Sesuai;Tidak Sesuai";1;;5;1
145;19;2;Pasang Thermokopel pada unit Indoor dan Outdoor;RADIO;"Sesuai;Tidak Sesuai";1;;5;0
146;19;2;Instalasi unit (jarak unit indoor ke dinding 300 - 400 mm);RADIO;"Sesuai;Tidak Sesuai";1;;5;1
147;19;2;Instalasi unit (jarak unit indoor ke lantai 1400 - 1500 mm);RADIO;"Sesuai;Tidak Sesuai";1;;5;1
148;19;2;Instalasi unit (jarak unit outdoor ke dinding 500 mm);RADIO;"Sesuai;Tidak Sesuai";1;;5;1
149;19;2;Instalasi unit (jarak unit outdoor ke lantai 750 - 1000 mm);RADIO;"Sesuai;Tidak Sesuai";1;;5;1
150;19;2;Instalasi pemasangan air sampler unit Indoor (Metode Air Enthalpy);RADIO;"Sesuai;Tidak Sesuai";1;;5;1
151;19;2;Instalasi pemasangan air sampler unit Outdoor (Metode Air Enthalpy);RADIO;"Sesuai;Tidak Sesuai";1;;5;1
152;19;2;Proses pemvakuman;RADIO;"Sesuai;Tidak Sesuai";1;;5;0
153;19;2;Test kebocoran pipa;RADIO;"Sesuai;Tidak Sesuai";1;;5;0
154;19;2;Kondisi Temperatur Pengujian;RADIO;"Sesuai;Tidak Sesuai";1;;5;0
155;19;2;Indoor Chamber: TDB (27?) TWB (19?) Outdoor Chamber: TDB (35?) TWB (24?);RADIO;"Sesuai;Tidak Sesuai";1;;5;0
156;19;2;"Atur AC pada posisi:
       - Mode : Cool
       - Kecepatan fan : Maksimum
       - Posisi pengarah hembusan udara : Maksimum
       - Temperatur Remote Control : Suhu terendah/minimum";RADIO;"Sesuai;Tidak Sesuai";1;;5;0
157;19;2;Jaga perbedaan tekanan air discharge AC yang diuji di dalam receiving chamber dan ruang chamber sebesar 0 Pa;RADIO;"Sesuai;Tidak Sesuai";1;;5;0
158;19;2;Kecepatan aliran udara (air velocity) antara 15m/dt - 35m/dt dengan mengatur nozzle pada receiving chamber;RADIO;"Sesuai;Tidak Sesuai";1;;5;1
159;20;2;Hasil penilaian;RADIO;"Sesuai Standar;Tidak Sesuai Standar";1;;5;0
160;20;2;Keterangan tambahan;TEXT;null;1;;5;0
